"rank","region","point","lat","lng","timestamp","score","legacy_score","weighted_before_hard","grade","hard_safety","hard_label","hard_reason","wave","swell","wind","current","visibility","wave_factor","wind_factor","swell_factor","exposure","shelter","direction"
"29","울진","나곡해수욕장","37.1265253793637","129.372203080804","2026-08-14T10:00","41","42","41","나쁨","False",,"","1.12","0.86","0.72","0.4","47","1","0.92","1.06","medium","medium","E"
"30","삼척","신남해변","37.2641682683252","129.327879990431","2026-08-14T10:00","40","41","40","나쁨","False",,"","1.14","0.9","3.47","0.4","55","1.06","0.96","1.06","medium","medium","E"
"31","삼척","오분해변","37.4247633549319","129.192710238674","2026-08-14T10:00","38","42","38","나쁨","True","나쁨","wave>=1.2","1.2","0.96","4.83","0.2","45","1.145","1.176","1.2","high","low","E"
"32","삼척","갈남항","37.2813158668178","129.324496343151","2026-08-14T10:00","37","35","37","나쁨","False",,"","1.14","0.9","5.45","0.4","45","0.975","0.883","0.975","medium","high","E"
"33","삼척","궁촌항","37.3282260356847","129.269997471375","2026-08-14T10:00","37","35","37","나쁨","False",,"","1.14","0.9","5.23","0.4","45","0.975","0.883","0.975","medium","high","E"
"34","삼척","장호항","37.2890001092673","129.317490175579","2026-08-14T10:00","37","35","37","나쁨","False",,"","1.14","0.9","5.45","0.4","45","0.975","0.883","0.975","medium","high","E"
"35","삼척","용화해변","37.2899788964184","129.306761053814","2026-08-14T10:00","34","35","34","나쁨","False",,"","1.14","0.9","5.45","0.4","45","1.06","0.96","1.06","medium","medium","E"
"36","삼척","초곡항·문암해변","37.3098619433545","129.290867582479","2026-08-14T10:00","34","35","34","나쁨","False",,"","1.14","0.9","5.45","0.4","45","1.06","0.96","1.06","medium","medium","E"
"37","삼척","선창해변","37.4263456561431","129.19233564155","2026-08-14T10:00","34","39","34","나쁨","True","나쁨","wave>=1.2","1.2","0.96","6.88","0.2","45","1.145","1.176","1.2","high","low","E"
"38","강릉","안목해변","37.7729853522053","128.94924202064","2026-08-14T10:00","32","35","32","나쁨","False",,"","1.18","0.94","5.72","0.5","45","1.145","1.127","1.2","high","low","E"
"39","삼척","대진항","37.3494717062655","129.260394257417","2026-08-14T10:00","32","30","32","나쁨","False",,"","1.14","0.9","5.23","0.6","45","0.975","0.883","0.975","medium","high","E"
"40","삼척","패밀리아팬션 앞","37.2819709213581","129.321242879537","2026-08-14T10:00","32","35","32","나쁨","False",,"","1.14","0.9","5.45","0.4","45","1.145","1.109","1.2","high","medium","E"
"41","강릉","순포해변","37.8216967200687","128.889340970768","2026-08-14T10:00","29","33","29","매우 나쁨","True","나쁨","swell>=1.0","1.18","1.04","5.78","0.5","25","1.2","1.127","1.2","high","low","E"
"42","삼척","원평해수욕장","37.3171931739094","129.276664180598","2026-08-14T10:00","28","32","28","매우 나쁨","False",,"","1.14","0.9","7.64","0.4","45","1.2","1.176","1.2","high","low","E"
"43","고성","가진해변","38.373191067146","128.509633744093","2026-08-14T10:00","28","29","28","매우 나쁨","True","나쁨","wave>=1.2, swell>=1.0","1.42","1.14","6.19","0.4","17","1.06","0.96","1.1","medium","medium","E"
"44","강릉","심곡항","37.6645985087728","129.054947803353","2026-08-14T10:00","27","29","27","매우 나쁨","True","나쁨","wind>=8","1.18","0.94","8.04","0.4","45","1.1","1","1.1","medium","medium","NE"
"45","강릉","금진 옥계 해변","37.6289009310514","129.050662425201","2026-08-14T10:00","26","29","26","매우 나쁨","True","나쁨","wave>=1.2, wind>=8","1.2","0.92","8.04","0.4","45","1.145","1.127","1.2","high","low","E"
"46","강릉","사천진 바위섬","37.8408585535528","128.877587380548","2026-08-14T10:00","25","29","25","매우 나쁨","True","나쁨","swell>=1.0","1.18","1.04","7.71","0.5","17","1.2","1.176","1.2","high","low","E"
"47","삼척","맹방해수욕장","37.3892440778943","129.236583909239","2026-08-14T10:00","23","27","23","매우 나쁨","False",,"","1.14","0.9","7.43","0.6","45","1.2","1.176","1.2","high","low","E"
"48","강릉","강문해변","37.7954069393979","128.919356186753","2026-08-14T10:00","23","25","23","매우 나쁨","True","나쁨","wave>=1.2, swell>=1.0, wind>=8","1.26","1.06","8.56","0.5","17","1.2","1.176","1.2","high","low","E"
"49","강릉","사근진해변주차장","37.808","128.909","2026-08-14T10:00","23","25","23","매우 나쁨","True","나쁨","swell>=1.0, wind>=8","1.18","1.04","8.56","0.5","17","1.2","1.176","1.2","high","low","E"
"50","강릉","소돌아들바위공원","37.9055545616068","128.830663974575","2026-08-14T10:00","20","19","20","매우 나쁨","True","입수 비추천","current>=1.0","1.18","1.04","6.65","1","17","1","0.92","1","medium","medium","SE"
"51","고성","백섬해상전망대","38.4507935625771","128.467708061273","2026-08-14T10:00","20","24","20","매우 나쁨","True","나쁨","wave>=1.2, swell>=1.0","1.44","1.28","6.45","0.6","17","1.2","1.176","1.2","high","low","E"
"52","강릉","소돌방파제","37.9027557731503","128.830918630599","2026-08-14T10:00","19","19","19","매우 나쁨","True","입수 비추천","current>=1.0","1.18","1.04","6.65","1","17","1.06","0.96","1.06","medium","medium","E"
"53","강릉","영진해변","37.8693536507163","128.846296158485","2026-08-14T10:00","15","19","15","매우 나쁨","True","입수 비추천","current>=1.0","1.18","1.04","7.71","1","17","1.2","1.176","1.2","high","low","E"
